Posting Date,Merchant Name,"Transaction 
Amount","Explanation Category: 
See Guidance Sheet and use drop down list"
19/03/2015,BRIDGEWATER GLASS,594.00,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
19/03/2015,SCREWFIX DIRECT,616.58,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
19/03/2015,SCREWFIX DIRECT,638.23,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
19/03/2015,SCREWFIX DIRECT,713.17,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
09/03/2015,PLUMB CENTER DBC,506.52,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
05/03/2015,BYBROOK FURNITURE&EVEN,500.00,Catering Supplies/Food
16/03/2015,BSS LIVERPOOL,649.82,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
16/03/2015,BSS LIVERPOOL,534.46,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
18/03/2015,R SWAIN AND SONS L,660.00,Estates - Industrial supplies/equipment
30/03/2015,RENAULT DURHAM,790.87,Vehicle - New or Repairs and Maintenance
30/03/2015,COMMERCIAL REPAIRS,858.06,Vehicle - New or Repairs and Maintenance
25/03/2015,DETECTNOLOGY (UK) LTD,930.00,Security Equipment 
25/03/2015,BEVERAGES DIRECT LTD,646.82,Catering Supplies/Food
30/03/2015,PLUMB CENTER ME,590.71,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
25/03/2015,ASHWOOD VETERINARY CLI,509.38,Dogs - Vet Treatment Prison Service (Sniffer Dogs)
11/03/2015,CENTRAL GARAGE,882.88,Vehicle - MOT & Service
18/03/2015,NEWTON-LE-WILLOWS BLIN,500.00,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
18/03/2015,NEWTON-LE-WILLOWS BLIN,500.00,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
10/03/2015,JEWSON LTD,502.80,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
04/03/2015,SPORTSDIRECT.COM,696.25,Educational/Learning/Training - Equipment or Supplies
20/03/2015,ELMBRIDGE TYRE SERV LT,534.00,Vehicle - New or Repairs and Maintenance
19/03/2015,IMPERIAL COMMERCIA,512.74,Vehicle - New or Repairs and Maintenance
18/03/2015,A 2 B WINSCREENS,714.00,Vehicle - New or Repairs and Maintenance
05/03/2015,RAJAPACK LTD,781.92,Prison -Operational items
25/03/2015,JEWSON LTD,546.49,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
24/03/2015,G J JOHNSON & SONS LTD,654.62,Estates - Services for Building/Electrical/Plumbing
24/03/2015,G J JOHNSON & SONS LTD,642.62,Estates - Services for Building/Electrical/Plumbing
19/03/2015,B & Q,550.38,Educational/Learning/Training - Equipment or Supplies
06/03/2015,ALSFORD TIMBER LTD,585.12,Estates - Supplies for Maintenance of Building/Electrical/Plumbing
