Residuos Urbanos de las e-DMAs E-PRTR 2012;;;;;;;;;;;;;;;;;
Ejercicio;NIF;Razón Social;NIMA;Denominación;Municipio;CNAE'09;CNAE Ppal;E-PRTR;E-PRTR Ppal;SNAP;SNAP Ppal;LER;Descripción LER;7 tablas;Tipo Residuo;Cantidad;Unidad
2012;A20060075;GALVANIZADOS OLAIZOLA;2000000299;GALVANIZADOS OLAIZOLA, S.A.;Zumaia;2561;1;2.c.iii;1;040308;1;200101;Papel y cartón;R3;Urbano;24100;KG
2012;A20016382;GKN DRIVELINE ZUMAIA;2000001895;GKN DRIVELINE LEGAZPI S.A.;Legazpi;2550;1;2.f;1;040308;1;200138;Madera distinta de la especificada en el código 20 01 37;D15;Urbano;16340;KG
2012;A20016382;GKN DRIVELINE ZUMAIA;2000001895;GKN DRIVELINE LEGAZPI S.A.;Legazpi;2550;1;2.f;1;040308;1;200101;Papel y cartón;R5;Urbano;3300;KG
2012;B20166344;INDUSTRIAS APERRIBAY;2000000440;INDUSTRIAS APERRIBAY, S. L.;Bergara;2434;1;2.f;1;040308;1;160306;Residuos orgánicos distintos de los especificados en el código 16 03 05;R13;Urbano;75;KG
2012;B20794749;INDUSTRIAS ARAMENDI;2000016741;INDUSTRIAS ARAMENDI, S. L.;Usurbil;2410;1;2.f;1;040308;1;200199;Otras fracciones no especificadas en otra categoría;R13;Urbano;11700;KG
2012;B20794749;INDUSTRIAS ARAMENDI;2000016741;INDUSTRIAS ARAMENDI, S. L.;Usurbil;2410;1;2.f;1;040308;1;200101;Papel y cartón;R13;Urbano;2700;KG
2012;A20030128;JOSE MARIA UCIN;2000004454;JOSE MARÍA UCIN, S.A.;Usurbil;2454;1;2.e.ii;1;040306;1;200138;Madera distinta de la especificada en el código 20 01 37;R13;Urbano;20680;KG
2012;A20030128;JOSE MARIA UCIN;2000004454;JOSE MARÍA UCIN, S.A.;Usurbil;2454;1;2.e.ii;1;040306;1;200301;Mezclas de residuos municipales;R13;Urbano;4000;KG
2012;A20030128;JOSE MARIA UCIN;2000004454;JOSE MARÍA UCIN, S.A.;Usurbil;2454;1;2.e.ii;1;040306;1;200101;Papel y cartón;R13;Urbano;12000;KG
2012;B86427150;KEM ONE HERNANI;2000000240;KEM ONE HERNANI, S.L.U.;Hernani;2016;1;4.a.viii.1;1;040508;1;200301;Mezclas de residuos municipales;R13;Urbano;4946;KG
2012;A20043311;S. IZAGUIRRE;2000004469;LAMINACION EN FRIO DE ACERO;Usurbil;2432;1;2.f;1;040308;1;200301;Mezclas de residuos municipales;D12;Urbano;780;KG
2012;A20864856;UROLA ERDIKO LAPATX ZABORTEGIA;2000002331;LAPATX ZABORTEGIA;Azpeitia;3821;1;5.d;1;090401;1;200301;Mezclas de residuos municipales;R13;Urbano;59160;KG
2012;F20075909;MIRVAT;2000004926;Mirvat S. Coop. Ltda.;Eskoriatza;2561;1;2.f;1;040308;1;200301;Mezclas de residuos municipales;R13;Urbano;600;KG
2012;A20012563;MUNKSJÖ PAPER;2000007374;MUNSKJÖ PAPER, S.A.;Berastegi;1712;1;6.b.1;1;040601;1;170407;Metales mezclados;-//D1//-//-//-//-//-;Urbano;16260;KG
2012;A20012563;MUNKSJÖ PAPER;2000007374;MUNSKJÖ PAPER, S.A.;Berastegi;1712;1;6.b.1;1;040601;1;020104;Residuos de plásticos (excepto embalajes);-//D1//-//-//-//-//-;Urbano;10960;KG
2012;A20012563;MUNKSJÖ PAPER;2000007374;MUNSKJÖ PAPER, S.A.;Berastegi;1712;1;6.b.1;1;040601;1;200399;Residuos municipales no especificados en otra categoría;-//D1//-//-//-//-//-;Urbano;92660;KG
2012;A20012563;MUNKSJÖ PAPER;2000007374;MUNSKJÖ PAPER, S.A.;Berastegi;1712;1;6.b.1;1;040601;1;030308;Residuos procedentes de la clasificación de papel y cartón destinados al reciclado;-//D1//-//-//-//-//-;Urbano;500370;KG
2012;A20012563;MUNKSJÖ PAPER;2000007374;MUNSKJÖ PAPER, S.A.;Berastegi;1712;1;6.b.1;1;040601;1;030104;Serrín, virutas, recortes, madera, tableros de partículas y chapas que contienen sustancias peligrosas;-//D1//-//-//-//-//-;Urbano;58790;KG
2012;B20032330;OBE HETTICH;2000004738;OBE Hettich, S.L. en Comandita;Aizarnazabal;2572;1;2.f;1;040308;1;200304;Lodos de fosas sépticas;R13;Urbano;0;KG
2012;B20032330;OBE HETTICH;2000004738;OBE Hettich, S.L. en Comandita;Aizarnazabal;2572;1;2.f;1;040308;1;200301;Mezclas de residuos municipales;R13;Urbano;5016;KG
