X,Y,OBJECTID,Cuadricula,GSM_up,GSM_down,UMTS,Latitud,Longitud,Fecha,DDLat,DDLon,GSM,UMTS_1
227601.607861585,3190534.96182877,61,0,-64,-79,-104,28 48 49N,017 47 28W,2013/12/17 00:00:00+00,"28,81361N","017,79111W",GPRS y GSM,Nivel correcto
227791.456709169,3190530.50248041,62,0,-94,-89,-104,28 48 49N,017 47 21W,2013/12/17 00:00:00+00,"28,81361N","017,78917W",GPRS y GSM,Nivel correcto
228666.279385115,3189647.28786871,63,0,-79,-89,-104,28 48 21N,017 46 48W,2013/12/17 00:00:00+00,"28,80583N","017,78000W",GPRS y GSM,Nivel correcto
229633.539425814,3190394.96345089,64,0,-74,-89,-104,28 48 46N,017 46 13W,2013/12/17 00:00:00+00,"28,81278N","017,77028W",GPRS y GSM,Nivel correcto
210271.351598888,3189907.39780925,65,0,-84,-89,-109,28 48 15N,017 58 06W,2013/12/05 00:00:00+00,"28,80417N","017,96833W",GPRS y GSM,Dificultad en la comunicación
210271.351598888,3189907.39780925,66,0,-84,-89,-109,28 48 15N,017 58 06W,2013/12/05 00:00:00+00,"28,80417N","017,96833W",GPRS y GSM,Dificultad en la comunicación
210271.351598888,3189907.39780925,67,0,-84,-89,-111,28 48 15N,017 58 06W,2013/12/05 00:00:00+00,"28,80417N","017,96833W",GPRS y GSM,Dificultad en la comunicación
211901.965747809,3189990.03516062,68,0,-94,-96,-110,28 48 19N,017 57 06W,2013/12/05 00:00:00+00,"28,80528N","017,95167W",GPRS y GSM,Dificultad en la comunicación
213546.988970596,3190658.0294235,69,0,-94,-74,-104,28 48 42N,017 56 06W,2013/12/06 00:00:00+00,"28,81167N","017,93500W",GPRS y GSM,Nivel correcto
214668.747418092,3189921.62615945,70,0,-74,-74,-104,28 48 19N,017 55 24W,2013/12/05 00:00:00+00,"28,80528N","017,92333W",GPRS y GSM,Nivel correcto
215600.819099482,3190299.31809895,71,0,-64,-84,-109,28 48 32N,017 54 50W,2013/12/06 00:00:00+00,"28,80889N","017,91389W",GPRS y GSM,Dificultad en la comunicación
