Año,Mes,Descripcion Centro,Organismo,Numero Contrato,Numero Expediente,Descripcion Contrato,Tipo Contrato,Procedimiento Adjudicacion,Articulo,Apartado,Criterios Adjudicacion,Presupuesto Total(IVA Incluido),Importe Adjudicacion (IVA Incluido),Plazo,Fecha Adjudicacion,Nombre/Razon Social,NIF/CIF Adjudicatario,Fecha Formalizacion,Tiene acuerdo Marco,Tiene ingreso/coste cero,Adjudicado por precios unitarios
2020,Junio,Ayuntamiento De Madrid,"Area De Gobierno De Portavoz, Seguridad Y Emergencias",202000601,300/2019/00877,suministro de camisas de oficina para la jefatura del cuerpo de bomberos del ayuntamiento de madrid.,Suministro,Abierto simplificado,,,Un unico criterio,49247.0,49247.0,2.5,2020-04-22T00:00:00Z,Alfredo Grassi Spa,182620120,2020-05-29T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,"Area De Gobierno De Portavoz, Seguridad Y Emergencias",202000602,300/2019/01622,contrato de servicios de realizacion de reportajes fotograficos y audiovisuales en el ambito de la politica informativa del ayuntamiento de madrid y promovidos por la direccion general de comunicacion.,Servicios,Abierto,,,Pluralidad de criterios,154613.07,92767.84,12,2020-04-28T00:00:00Z,Ipro Organizacion Sl .,B91890582,2020-03-06T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,"Area De Gobierno De Portavoz, Seguridad Y Emergencias",202000603,300/2019/01179,i.f.s. para el suministro de 40 maletas de apertura de puertas para la jefatura del cuerpo de bomberos,Suministro,Abierto,,,Un unico criterio,160798.35,160798.35,3,2020-03-16T00:00:00Z,"Vicua Herramientas Tecnicas, S.L.",B50526789,2020-04-06T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,Coordinacion General De La Alcaldia,202000604,300/2019/01347,"servicio de limpieza de los edificios, espacios e instalaciones gestionados por la secretaria general tecnica de la coordinacion general de la alcaldia",Servicios,Abierto,,,Pluralidad de criterios,794620.88,735438.0,24,2020-02-27T00:00:00Z,"Limpiezas Crespo, S.A.",A28396604,2020-07-04T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,"Rea De Gobierno De Familias, Igualdad Y Bienestar Social",202000605,300/2019/00850,contrato de servicios para el desarrollo del proyecto transversal madrid violencia cero.,Servicios,Abierto,,,Pluralidad de criterios,334666.45,290155.81,24,2020-03-20T00:00:00Z,Enred Consultoria S.L.,B81143075,2020-05-19T00:00:00Z,false,false,false
2020,Junio,Empresas,"Empresa Municipal De La Vivienda Y Suelo De Madrid, S.A.",202000606,EVS/2020/00007,obras para la preparacion de la parcela de calle islas  num 37-39 del distrito de villaverde,Obras,Abierto simplificado sumario,,,Pluralidad de criterios,96689.32,83130.28,2.5,2020-10-02T00:00:00Z,"Harado De Construcciones Y Asistencia Tecnica, S.L.",B85124485,2020-03-03T00:00:00Z,false,false,false
2020,Junio,Empresas,"Empresa Municipal De La Vivienda Y Suelo De Madrid, S.A.",202000607,EVS/2020/00012,servicios de coordinacion de seguridad y salud en las obras de preparacion del solar situado en la c/ islas  num 37 y 39,Servicios,Abierto simplificado sumario,,,Pluralidad de criterios,3630.0,1966.25,2.5,2020-03-16T00:00:00Z,Interra Ingenieria Del Territorio S.L.U.,B85584787,2020-03-25T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,Distrito De Villa De Vallecas,202000608,120/2020/00883,tramitacion de emergencia.contratacion de emergencia para proporcionar manutencion consistente en la preparacion y envio a domicilio de cestas de compra para familias en situacion de vulnerabilidad como consecuencia de las medidas extraordinarias adoptadas tendentes a la contencion del covid-19.,Suministro,Tramitacon Emergencia,,,,137999.99,137999.99,4,2020-03-30T00:00:00Z,"Centros Comerciales Carrefour, S.A. Los Angeles",A28425270,2020-04-20T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,Distrito De Villa De Vallecas,202000609,120/2020/00903,contratacion de emergencia para proporcionar manutencion consistente en la preparacion y envio a domicilio de cestas de compra para familias en situacion de vulnerabilidad como consecuencia de las medidas extraordinarias adoptadas tendentes a la contencion del covid-19,Suministro,Tramitacon Emergencia,,,,168750.0,168750.0,3,2020-04-30T00:00:00Z,"Centros Comerciales Carrefour, S.A. Los Angeles",A28425270,2020-04-05T00:00:00Z,false,false,false
2020,Junio,Ayuntamiento De Madrid,Distrito De Villa De Vallecas,202000610,120/2020/00877,"contratacion de emergencia para proporcionar manutencion a colectivos vulnerables como consecuencia de las medidas extraordinarias adoptadas tendentes a la contencion del covid-19, a un numero de personas estimadas, de aproximadamente, 30 diarias.",Servicios,Tramitacon Emergencia,,,,62341.83,62341.83,5.46,2020-03-15T00:00:00Z,"Cocinas Centrales, S.A.",A78538774,2020-03-28T00:00:00Z,false,false,false
