Site,Account,Cost 2015/16,Cost 2016/17,Consumption 2015/16,Consumption 2016/17
Primary School - Meanwood Church of England  ,Electricity - 10008975,"£6,153.96","£7,299.00","56,403","68,598"
Primary School - Micklefield Church of England  ,Electricity - 10009038,"£5,098.94","£6,405.33","49,788","62,166"
Primary School - Middleton  ,Electricity - 10004107,"£24,383.24","£19,668.98","233,709","197,847"
Primary School - Middleton St Marys Church of England  ,Electricity - 10008725,"£10,374.99","£14,512.63","94,767","134,306"
Primary School - Mill Field  ,Electricity - 10002493,"£22,387.94","£24,046.77","183,065","185,136"
Primary School - Moor Allerton Hall  ,Electricity - 10008309,"£2,063.75","£3,250.49","15,022","24,412"
Primary School - Moor Allerton Hall  ,Electricity - 10012067,"£10,237.46","£9,800.48","71,977","72,722"
Primary School - Moortown  ,Electricity - 10008284,"£7,789.85","£6,931.08","57,512","53,581"
Primary School - Morley Victoria  ,Electricity - 10008225,"£9,701.86","£16,294.08","71,783","124,977"
Primary School - Morley Victoria  ,Electricity - 10008996,"£3,389.70","£4,330.20","26,521","34,313"
Primary School - New Bewerley Community  ,Electricity - 10008903,"£28,392.19","£17,949.99","210,495","138,909"
Primary School - Ninelands  ,Electricity - 10008579,"£11,119.89","£9,602.33","101,483","89,364"
Primary School - Ninelands  ,Electricity - 10008577,£523.85,£407.63,"4,311","3,355"
Primary School - Ninelands  ,Electricity - 10008578,"£3,685.17","£4,750.49","31,632","44,101"
Primary School - Otley All Saints Church of England  ,Electricity - 10007588,"£2,585.97","£1,211.44","15,232","11,117"
Primary School - Otley All Saints Church of England  ,Electricity - 10007589,"£3,559.19","£3,321.26","31,000","30,621"
Primary School - Oulton  ,Electricity - 10002627,"£14,640.37","£15,970.91","119,977","122,128"
Primary School - Our Lady of Good Counsel Roman Catholic  ,Electricity - 10008515,"£6,755.33","£5,994.68","59,387","55,619"
Primary School - Our Lady of Good Counsel Roman Catholic  ,Electricity - 10008517,"£2,453.60","£2,146.33","21,268","19,621"
Primary School - Park Spring  ,Electricity - 10008953,"£16,124.63","£16,595.55","124,802","128,992"
Primary School - Parklands  ,Electricity - 10012157,"£23,966.83","£21,614.98","197,941","165,256"
Primary School - Pool-in-Wharfedale Church of England  ,Electricity - 10007609,"£3,068.86","£1,432.36","26,119","13,015"
